time,number,veh type,link,lane,x,vx,y,leader number,delta x,VISSIM delta v,delta v
10.1,1,100,3,2,13.63,53.75,0.5,1,250.0,0.0,0.0
10.1,2,100,4,2,44.01,55.39,0.5,2,250.0,0.0,0.0
10.2,1,100,3,2,15.13,53.84,0.5,1,250.0,0.0,0.0
10.2,2,100,4,2,45.55,55.49,0.5,2,250.0,0.0,0.0
10.2,3,100,4,1,0.02,50.92,0.5,1,140.74,-2.9,-2.9200000000000017
10.3,1,100,3,2,16.63,53.93,0.5,1,250.0,0.0,0.0
10.3,2,100,4,2,47.09,55.58,0.5,2,250.0,0.0,0.0
10.3,3,100,4,1,1.44,51.01,0.5,1,140.83,-2.92,-2.9200000000000017
10.4,1,100,3,2,18.13,54.02,0.5,1,250.0,0.0,0.0
10.4,2,100,4,2,48.64,55.61,0.5,2,250.0,0.0,0.0
10.4,3,100,4,1,2.85,51.09,0.5,1,140.91,-2.92,-2.9299999999999997
10.5,1,100,3,2,19.63,54.11,0.5,1,250.0,0.0,0.0
10.5,2,100,4,2,50.18,55.56,0.5,2,250.0,0.0,0.0
10.5,3,100,4,1,4.28,51.18,0.5,1,140.99,-2.93,-2.9299999999999997
10.6,1,100,3,2,21.13,54.2,0.5,1,250.0,0.0,0.0
10.6,2,100,4,2,51.72,55.46,0.5,2,250.0,0.0,0.0
10.6,3,100,4,1,5.7,51.27,0.5,1,141.07,-2.93,-2.9299999999999997
10.7,1,100,3,2,22.64,54.29,0.5,1,250.0,0.0,0.0
10.7,2,100,4,2,53.26,55.37,0.5,2,250.0,0.0,0.0
10.7,3,100,4,1,7.12,51.35,0.5,1,141.15,-2.93,-2.9399999999999977
10.8,1,100,3,2,24.15,54.37,0.5,1,250.0,0.0,0.0
10.8,2,100,4,2,54.8,55.27,0.5,2,250.0,0.0,0.0
10.8,3,100,4,1,8.55,51.44,0.5,1,141.23,-2.93,-2.9299999999999997
10.9,1,100,3,2,25.66,54.46,0.5,1,250.0,0.0,0.0
10.9,2,100,4,2,56.33,55.18,0.5,2,250.0,0.0,0.0
10.9,3,100,4,1,9.98,51.53,0.5,1,141.31,-2.93,-2.9299999999999997
11.0,1,100,3,2,27.17,54.55,0.5,1,250.0,0.0,0.0
11.0,2,100,4,2,57.86,55.08,0.5,2,250.0,0.0,0.0
11.0,3,100,4,1,11.41,51.62,0.5,1,141.39,-2.94,-2.9299999999999997
11.1,1,100,3,2,28.69,54.64,0.5,1,250.0,0.0,0.0
11.1,2,100,4,2,59.39,54.98,0.5,2,250.0,0.0,0.0
11.1,3,100,4,1,12.85,51.7,0.5,1,141.48,-2.94,-2.9399999999999977
11.2,1,100,3,2,30.21,54.73,0.5,1,250.0,0.0,0.0
11.2,2,100,4,2,60.92,54.89,0.5,2,250.0,0.0,0.0
11.2,3,100,4,1,14.29,51.79,0.5,1,141.56,-2.94,-2.9399999999999977
11.3,1,100,3,2,31.73,54.82,0.5,1,250.0,0.0,0.0
11.3,2,100,4,2,62.44,54.79,0.5,2,250.0,0.0,0.0
11.3,3,100,4,1,15.73,51.88,0.5,1,141.64,-2.94,-2.9399999999999977
11.4,1,100,3,2,33.25,54.91,0.5,1,250.0,0.0,0.0
11.4,2,100,4,2,63.96,54.69,0.5,2,250.0,0.0,0.0
11.4,3,100,4,1,17.17,51.96,0.5,1,141.72,-2.94,-2.9499999999999957
11.5,1,100,3,2,34.78,55.0,0.5,1,250.0,0.0,0.0
11.5,2,100,4,2,65.48,54.6,0.5,2,250.0,0.0,0.0
11.5,3,100,4,1,18.61,52.05,0.5,1,141.8,-2.95,-2.950000000000003
11.6,1,100,3,2,36.31,55.09,0.5,1,250.0,0.0,0.0
11.6,2,100,4,2,67.0,54.5,0.5,2,250.0,0.0,0.0
11.6,3,100,4,1,20.06,52.14,0.5,1,141.89,-2.95,-2.950000000000003
11.7,1,100,3,2,37.84,55.18,0.5,1,250.0,0.0,0.0
11.7,2,100,4,2,68.51,54.41,0.5,2,250.0,0.0,0.0
11.7,3,100,4,1,21.51,52.23,0.5,1,141.97,-2.95,-2.950000000000003
11.8,1,100,3,2,39.38,55.27,0.5,1,250.0,0.0,0.0
11.8,2,100,4,2,70.02,54.31,0.5,2,250.0,0.0,0.0
11.8,3,100,4,1,22.96,52.31,0.5,1,142.05,-2.95,-2.960000000000001
11.9,1,100,3,2,40.91,55.36,0.5,1,250.0,0.0,0.0
11.9,2,100,4,2,71.53,54.21,0.5,2,250.0,0.0,0.0
11.9,3,100,4,1,24.42,52.4,0.5,1,142.13,-2.96,-2.960000000000001
12.0,1,100,3,2,42.45,55.37,0.5,1,250.0,0.0,0.0
12.0,2,100,4,2,73.03,54.12,0.5,2,250.0,0.0,0.0
12.0,3,100,4,1,25.87,52.49,0.5,1,142.21,-2.96,-2.8799999999999955
12.1,1,100,3,2,43.99,55.32,0.5,1,250.0,0.0,0.0
12.1,2,100,4,2,74.53,54.02,0.5,2,250.0,0.0,0.0
12.1,3,100,4,1,27.33,52.57,0.5,1,142.29,-2.89,-2.75
12.2,1,100,3,2,45.52,55.23,0.5,1,250.0,0.0,0.0
12.2,2,100,4,2,76.03,53.93,0.5,2,250.0,0.0,0.0
12.2,3,100,4,1,28.79,52.66,0.5,1,142.37,-2.75,-2.5700000000000003
12.3,1,100,3,2,47.06,55.14,0.5,1,250.0,0.0,0.0
12.3,2,100,4,2,77.53,53.83,0.5,2,250.0,0.0,0.0
